,CreditScore,Age,NumOfProducts,EstimatedSalary,Balance,PhoneNumber,Address
2,608,41,1,112542.58,83807.86,7045474186,"123, UNCC"
4,699,39,2,93826.63,0,234,"123, UNCC"
5,850,43,1,79084.1,125510.82,123,
7,822,50,2,10062.8,0,9803180658,"234, UNCC"
9,501,44,2,74940.5,142051.07,9803180658,"234, UNCC"
10,684,27,1,71725.73,134603.88,9803180658,"234, UNCC"
11,528,31,2,80181.12,102016.72,9803180658,"234, UNCC"
12,497,24,2,76390.01,0,705474186,
13,476,34,2,26260.98,0,5474186,
14,549,25,2,190857.79,0,9803180658,"234, UNCC"
15,635,35,2,65951.65,0,56,"123, UNCC"
16,616,45,2,64327.26,143129.41,34,"123, UNCC"
18,549,24,2,14406.41,0,456,"123, UNCC"
19,587,45,1,158684.81,0,9803659169,"xyz, UNCC"
20,726,24,2,54724.03,0,9803659169,"xyz, UNCC"
21,732,41,2,170886.17,0,9803659169,"xyz, UNCC"
22,636,32,2,138555.46,0,9803659169,"xyz, UNCC"
24,669,46,2,8487.75,0,9803659169,"xyz, UNCC"
25,846,38,1,187616.16,0,,
26,577,25,2,124508.29,0,,
